Date,Area,Exports Value Index,Exports Quantum Index,Exports Unit Value,Imports Value Index,Imports Quantum Index,Imports Unit Value,Exports Value Index Percent Change,Exports Quantum Index Percent Change,Exports Unit Value Percent Change,Imports Value Index Percent Change,Imports Quantum Index Percent Change,Imports Unit Value Percent Change
2013-03-01,EU,92.4,82.6,111.9,133.4,119,112,-4.7,-12.5,8.9,11.8,1.7,9.9
2013-04-01,EU,88.6,78.3,113.1,124.3,117,106.2,-3.6,-11.8,9.3,15.1,7.3,7.2
2013-05-01,EU,83.4,73.6,113.3,127.3,117.1,108.7,-4.9,-16.4,13.7,8.5,-0.6,9.1
2013-06-01,EU,88.9,75,118.5,125.9,114.9,109.6,8.6,-9.4,19.8,16.6,0.2,16.4
2013-07-01,EU,92.5,81.6,113.3,142.2,130.3,109.1,16.6,0.2,16.4,15.4,4.2,10.8
2013-08-01,EU,88.9,78.2,113.7,132,122.2,108,18,-1.2,19.5,11.6,-0.6,12.3
2013-09-01,EU,101.6,88.8,114.5,138.1,126,109.6,14.3,-2.2,16.8,30.8,14.1,14.7
2013-10-01,EU,101.9,86.4,117.9,137.5,123.5,111.3,27.1,8,17.6,15.5,6,9
2013-11-01,EU,94.4,79,119.5,137.1,120.7,113.6,19.4,0.4,18.9,5.9,-7,13.9
2013-12-01,EU,105.9,86.4,122.6,143.6,123.7,116.1,23,5.4,16.8,33.2,16.9,14
2014-01-01,EU,96.2,77.6,124,144.2,127,113.5,20.2,5.5,13.9,20.4,9.2,10.2
2014-02-01,EU,96,78.9,121.6,133.3,116.7,114.2,13.9,8.2,5.3,15.4,8.6,6.3
2014-03-01,EU,101.8,82.4,123.6,154,134.3,114.7,10.2,-0.3,10.5,15.5,12.8,2.3
2014-04-01,EU,99.8,82.1,121.6,135.7,117.8,115.1,12.7,4.8,7.5,9.1,0.7,8.4
2014-05-01,EU,94.5,78.3,120.7,134.6,116.3,115.7,13.3,6.4,6.5,5.7,-0.7,6.5
2014-06-01,EU,94.6,78.3,120.8,134.5,123.9,108.6,6.4,4.5,1.9,6.9,7.9,-0.9
2014-07-01,EU,101.9,84.6,120.4,143.5,126.6,113.4,10.2,3.7,6.3,1,-2.8,3.9
2014-08-01,EU,93.9,79,118.9,130,118.2,109.9,5.6,1,4.6,-1.5,-3.3,1.8
2014-09-01,EU,102.2,84.5,121,143.9,131.1,109.8,0.6,-4.9,5.7,4.2,4,0.2
2014-10-01,EU,107.4,89.1,120.5,145.2,128.1,113.4,5.4,3.2,2.2,5.6,3.7,1.9
2014-11-01,EU,93.2,75.5,123.4,140.6,120,117.2,-1.3,-4.4,3.2,2.5,-0.6,3.1
2014-12-01,EU,113.1,89.5,126.3,140.9,115.6,121.9,6.8,3.6,3,-1.9,-6.6,5
2015-01-01,EU,103.4,82.6,125.1,139.8,117.2,119.3,7.4,6.4,0.9,-3.1,-7.8,5.1
2015-02-01,EU,97.8,81.6,119.9,128.4,110.3,116.4,1.9,3.3,-1.4,-3.8,-5.5,1.9
2015-03-01,EU,111,93.6,118.6,146.2,121.7,120.1,9.1,13.7,-4,-5.1,-9.4,4.7
2015-04-01,EU,100.7,86.4,116.6,138.8,113.3,122.5,0.9,5.2,-4.1,1.1,-3.8,5.1
2015-05-01,EU,94.8,79.3,119.5,136.3,107.8,126.4,0.4,1.4,-1,1.2,-7.3,9.1
2015-06-01,EU,104.8,83.4,125.6,143.5,117.2,122.4,10.8,6.5,4,6.6,-5.4,12.7
2015-07-01,EU,112.1,89.3,125.6,162.9,125.9,129.4,10,5.5,4.3,13.5,-0.6,14.2
2015-08-01,EU,93.7,75.1,124.9,158.4,119.4,132.7,-0.2,-5,5,21.8,1,20.6
2015-09-01,EU,107.4,86.3,124.5,139,119.6,116.2,5.1,2.1,2.9,-3.4,-8.7,5.8
2015-10-01,EU,113.2,92.1,123,157.9,118.3,133.5,5.5,3.3,2.1,8.8,-7.6,17.8
2015-11-01,EU,102,82.5,123.6,170.3,123.3,138.1,9.5,9.3,0.2,21.2,2.8,17.9
2015-12-01,EU,116.6,93.9,124.1,154.9,109.5,141.5,3.1,5,-1.7,10,-5.3,16.1
2016-01-01,EU,99.5,81.6,122,148.4,118.1,125.7,-3.7,-1.2,-2.5,6.1,0.8,5.3
2016-02-01,EU,106.9,89.9,118.9,146.7,108.9,134.7,9.3,10.2,-0.8,14.3,-1.3,15.7
2016-03-01,EU,124.5,106.4,117,140.9,124.5,113.1,12.1,13.6,-1.3,-3.6,2.3,-5.8
2016-04-01,EU,110.6,94.2,117.4,127.2,110.5,115.2,9.9,9.1,0.7,-8.3,-2.5,-6
2016-05-01,EU,91,78.2,116.3,134.2,119.5,112.3,-4,-1.4,-2.7,-1.5,10.8,-11.1
2016-06-01,EU,104.4,90.1,115.9,134.1,113,118.6,-0.4,8,-7.8,-6.6,-3.6,-3.1
2009-01-01,ASIA,51.3,52.8,97,89.5,89.5,100,-46.8,-39.1,-12.6,-25.4,-10.8,-16.3
2009-02-01,ASIA,56.5,57.7,98,61.7,61.4,100.5,-46.4,-40.6,-9.7,-41.3,-30.7,-15.3
2009-03-01,ASIA,70.2,71.3,98.4,82.5,81.1,101.7,-39.4,-34,-8.3,-30,-20.7,-11.7
2009-04-01,ASIA,72.6,74.2,97.9,83.6,82.8,101,-33.4,-28.8,-6.5,-28.3,-18.9,-11.6
2009-05-01,ASIA,71.3,73.3,97.3,72.2,73.5,98.2,-35.5,-27.6,-10.9,-36.2,-23.1,-17
2009-06-01,ASIA,79.5,81.6,97.5,81.2,83.4,97.4,-30.1,-19.1,-13.6,-31.5,-13.7,-20.6
2009-07-01,ASIA,85.6,87,98.5,87.4,89.1,98.1,-29.9,-18.6,-13.9,-31.6,-11.5,-22.7
2009-08-01,ASIA,81.7,85.1,96,82.2,84.2,97.7,-30.6,-15.8,-17.6,-30.6,-7.7,-24.8
2009-09-01,ASIA,89,90.5,98.3,90.9,93.2,97.5,-22.2,-9.5,-14,-29,-7.6,-23.2
2009-10-01,ASIA,91.4,96.9,94.3,89.8,95,94.5,-15,-1.9,-13.4,-29.9,-10.5,-21.7
2009-11-01,ASIA,85.5,87.5,97.8,90.4,94.7,95.4,4.6,11.9,-6.5,-14,1.6,-15.3
2009-12-01,ASIA,96.1,97.8,98.3,91.5,97.3,94,31.1,32.9,-1.4,-7.6,3.5,-10.7
2010-01-01,ASIA,86.2,85.9,100.3,94.9,94.7,100.2,68.2,62.7,3.4,6,5.7,0.3
2010-02-01,ASIA,88,87.9,100.2,86,86.3,99.6,55.6,52.3,2.2,39.4,40.6,-0.8
2010-03-01,ASIA,107.2,106.7,100.5,96.4,95.9,100.5,52.8,49.6,2.2,17,18.3,-1.1
2010-04-01,ASIA,105.4,102.8,102.5,102.9,100.9,102,45.2,38.6,4.7,23.2,21.9,1
2010-05-01,ASIA,95.9,93.2,102.8,98.3,94.5,104,34.4,27.2,5.7,36.1,28.5,5.9
2010-06-01,ASIA,104.7,102.8,101.8,103.1,100.2,103,31.6,26,4.5,27.1,20.1,5.8
2010-07-01,ASIA,106,105.8,100.2,102.9,102.1,100.9,23.8,21.7,1.7,17.8,14.6,2.8
2010-08-01,ASIA,96.3,96.1,100.3,100.3,101.4,98.9,17.9,12.9,4.5,21.9,20.5,1.2
2010-09-01,ASIA,101.7,104,97.8,104.2,105.8,98.4,14.3,15,-0.6,14.6,13.5,1
2010-10-01,ASIA,101.7,104.8,97.1,98.9,101,98,11.3,8.1,3,10.2,6.3,3.6
2010-11-01,ASIA,96.6,98.9,97.7,106.4,111,95.9,13,13.1,-0.1,17.7,17.2,0.5
2010-12-01,ASIA,110.3,111.5,99,105.7,106.7,99,14.8,14,0.7,15.5,9.7,5.3
2011-01-01,ASIA,86.6,85.4,101.4,108.2,106.4,101.7,0.4,-0.6,1,14,12.3,1.5
2011-02-01,ASIA,98.8,98.7,100.1,92.1,88,104.6,12.3,12.4,-0.1,7.1,2,5
2011-03-01,ASIA,107,105.1,101.8,113.5,108.3,104.8,-0.2,-1.5,1.3,17.7,12.9,4.3
2011-04-01,ASIA,98.5,96.1,102.5,109.3,101,108.3,-6.5,-6.6,0,6.2,0.1,6.1
2011-05-01,ASIA,87.5,85.3,102.6,107,99.9,107.1,-8.7,-8.5,-0.2,8.9,5.8,2.9
2011-06-01,ASIA,102.9,99.8,103.1,112.3,104.9,107.1,-1.8,-3,1.2,8.9,4.7,4
2011-07-01,ASIA,103.1,100,103.1,111.5,103.1,108.1,-2.7,-5.5,2.9,8.3,1.1,7.2
2011-08-01,ASIA,96.6,94.4,102.4,117,110.2,106.2,0.3,-1.8,2.1,16.7,8.7,7.4
2011-09-01,ASIA,101.8,99.5,102.4,112.2,106.3,105.5,0.1,-4.4,4.7,7.7,0.5,7.2
2011-10-01,ASIA,94.8,93.4,101.5,114.8,107.6,106.6,-6.8,-10.9,4.6,16,6.6,8.9
2011-11-01,ASIA,88.8,87.7,101.3,114.9,108.1,106.3,-8.1,-11.3,3.7,7.9,-2.6,10.9
2011-12-01,ASIA,97.4,96.5,100.9,112.8,107.2,105.3,-11.7,-13.4,2,6.8,0.4,6.4
2012-01-01,ASIA,74.7,72.3,103.3,118.6,110.5,107.3,-13.7,-15.3,1.9,9.6,3.9,5.5
2012-02-01,ASIA,92.3,89.5,103,97.7,89.1,109.6,-6.6,-9.3,3,6.1,1.2,4.8
2012-03-01,ASIA,107.5,102.4,105,120.3,107.9,111.5,0.4,-2.6,3.1,6,-0.3,6.4
2012-04-01,ASIA,95.9,90.6,105.8,111.4,98.4,113.2,-2.7,-5.7,3.2,1.9,-2.6,4.6
2012-05-01,ASIA,91.4,86.9,105.2,118.6,108.2,109.6,4.5,1.9,2.5,10.8,8.3,2.3
2012-06-01,ASIA,98.3,94.8,103.7,109.6,100.3,109.3,-4.4,-5,0.6,-2.4,-4.4,2
2012-07-01,ASIA,93.7,90.5,103.5,114.9,105.7,108.7,-9.1,-9.5,0.4,3,2.5,0.5
2012-08-01,ASIA,90,87.2,103.2,110.4,102.5,107.8,-6.8,-7.6,0.8,-5.6,-7,1.5
2012-09-01,ASIA,93.4,89.3,104.6,113.2,104.5,108.3,-8.3,-10.3,2.2,0.9,-1.7,2.6
2012-10-01,ASIA,90.1,86.7,103.9,117.2,109.5,107,-5,-7.1,2.3,2.1,1.7,0.4
2012-11-01,ASIA,86.6,83.1,104.2,119,109,109.3,-2.5,-5.3,2.9,3.6,0.8,2.8
2012-12-01,ASIA,91.9,87.4,105.2,114.6,106,108.1,-5.7,-9.5,4.2,1.6,-1.1,2.7
2013-01-01,ASIA,81,73.3,110.5,125.9,106.6,118.1,8.4,1.3,7,6.2,-3.5,10.1
2013-02-01,ASIA,87.4,78.5,111.4,111.3,91,122.4,-5.2,-12.4,8.1,14,2.1,11.7
2013-03-01,ASIA,107.8,95.5,112.9,124.9,99.8,125.1,0.3,-6.7,7.5,3.8,-7.5,12.2
2013-04-01,ASIA,99.9,88.6,112.8,126,101.5,124.1,4.2,-2.2,6.6,13.1,3.2,9.7
2013-05-01,ASIA,101.4,88.7,114.4,130.1,102.3,127.2,11,2.1,8.8,9.7,-5.5,16.1
2013-06-01,ASIA,105.6,91,116.1,120.5,92.8,129.9,7.4,-4,11.9,10,-7.5,18.9
2013-07-01,ASIA,102.1,89,114.7,136.2,107,127.3,9,-1.6,10.8,18.6,1.3,17.1
2013-08-01,ASIA,102.2,87.5,116.7,127.5,99.9,127.6,13.4,0.4,13,15.5,-2.5,18.4
2013-09-01,ASIA,100.9,85.6,117.9,137.9,106,130,8.1,-4,12.7,21.8,1.4,20.1
2013-10-01,ASIA,103.4,88.4,116.9,144.9,113.1,128.1,14.8,2,12.6,23.6,3.3,19.7
2013-11-01,ASIA,102.8,88,116.9,142.7,110.9,128.7,18.8,5.9,12.2,19.9,1.8,17.8
2013-12-01,ASIA,106.5,89.3,119.3,141,107.9,130.7,15.9,2.2,13.4,23,1.8,20.8
2014-01-01,ASIA,85.7,71.8,119.4,160.2,118.2,135.5,5.8,-2,8,27.2,10.9,14.7
2014-02-01,ASIA,98.4,82.4,119.4,120.1,88.4,135.9,12.5,5,7.2,7.9,-2.9,11
2014-03-01,ASIA,109.3,90.9,120.3,150.2,111.1,135.1,1.4,-4.9,6.6,20.2,11.3,8
2014-04-01,ASIA,103.5,87.5,118.3,135.8,102.6,132.3,3.6,-1.3,4.9,7.7,1.1,6.6
2014-05-01,ASIA,97.9,84.3,116.2,128.5,99.9,128.6,-3.4,-4.9,1.6,-1.2,-2.3,1.1
2014-06-01,ASIA,101.6,86.1,118,130.1,100.4,129.6,-3.8,-5.4,1.7,8,8.2,-0.2
2014-07-01,ASIA,105.7,89.6,117.9,134.8,104.1,129.4,3.4,0.7,2.7,-1.1,-2.7,1.7
2014-08-01,ASIA,101.5,84.6,120,123.7,95,130.3,-0.6,-3.4,2.8,-3,-5,2.1
2014-09-01,ASIA,109.1,89.8,121.5,150.3,109.3,137.5,8.1,4.9,3.1,9,3.1,5.7
2014-10-01,ASIA,114.2,92.4,123.6,151.2,108.9,138.9,10.5,4.5,5.7,4.3,-3.7,8.4
2014-11-01,ASIA,108.8,86.8,125.3,147.7,103.7,142.5,5.8,-1.3,7.2,3.5,-6.5,10.7
2014-12-01,ASIA,118.1,89.6,131.9,151.7,103.4,146.6,10.9,0.3,10.5,7.6,-4.1,12.2
2015-01-01,ASIA,105,82.8,126.8,154.9,106.6,145.4,22.6,15.3,6.3,-3.3,-9.9,7.3
2015-02-01,ASIA,97.3,79.6,122.4,140.4,98.3,142.8,-1,-3.4,2.5,16.8,11.2,5
2015-03-01,ASIA,116.6,93.8,124.3,134,93.4,143.4,6.7,3.3,3.3,-10.8,-15.9,6.1
2015-04-01,ASIA,109.7,87.6,125.2,138.6,98.1,141.3,6,0.1,5.9,2.1,-4.4,6.8
2015-05-01,ASIA,101,82.3,122.7,124.6,91.2,136.7,3.2,-2.3,5.6,-3,-8.7,6.3
2015-06-01,ASIA,111.8,88.8,125.9,139.3,98.8,140.9,10,3.1,6.7,7,-1.5,8.7
2015-07-01,ASIA,112.1,89.2,125.6,144.8,101.4,142.8,6.1,-0.4,6.5,7.4,-2.6,10.3
2015-08-01,ASIA,102.5,81.6,125.6,133,93.4,142.4,1,-3.3,4.5,7.4,-1.7,9.3
2015-09-01,ASIA,108,85.9,125.7,149,106.2,140.4,-1,-4.3,3.5,-0.8,-2.9,2.1
2015-10-01,ASIA,110,90.2,122,144.2,104.5,138,-3.7,-2.4,-1.3,-4.6,-4,-0.6
2015-11-01,ASIA,99.3,83.5,118.9,136.3,100.6,135.5,-8.7,-3.8,-5.1,-7.8,-3,-4.9
2015-12-01,ASIA,105.9,88.8,119.3,134.1,99.1,135.2,-10.3,-0.8,-9.5,-11.6,-4.2,-7.8
2016-01-01,ASIA,86.4,73,118.4,136.9,101.3,135.2,-17.7,-11.9,-6.7,-11.6,-5,-7
2016-02-01,ASIA,91.4,80.4,113.7,118.1,91,129.8,-6.1,1.1,-7,-15.9,-7.5,-9.1
2016-03-01,ASIA,105.3,93.9,112.1,127,102.2,124.3,-9.7,0,-9.8,-5.2,9.3,-13.3
2016-04-01,ASIA,97.5,86.6,112.6,112,91.8,122.1,-11.1,-1.1,-10.1,-19.2,-6.4,-13.6
2016-05-01,ASIA,87.9,80.6,109,111.4,92.5,120.5,-13,-2.1,-11.1,-10.6,1.5,-11.9
2016-06-01,ASIA,99.9,90.5,110.4,118.2,99.7,118.5,-10.6,1.9,-12.3,-15.1,0.9,-15.9
2009-01-01,ASIA NIES,53.6,53.4,100.5,76,74.2,102.4,-50.2,-41.9,-14.3,-37.9,-23,-19.3
2009-02-01,ASIA NIES,59.9,60.6,98.8,64.9,61.9,104.7,-48.2,-40.3,-13.2,-42.8,-29.6,-18.8
2009-03-01,ASIA NIES,72.7,72.6,100.2,75,70.7,106,-42.7,-34.4,-12.6,-38.3,-29.8,-12.1
2009-04-01,ASIA NIES,76.4,77.2,99,77.9,72.7,107.1,-34.2,-25,-12.2,-35.3,-28.5,-9.5
2009-05-01,ASIA NIES,73.1,74.8,97.8,74.9,69.3,108.2,-37.1,-27,-13.9,-35.9,-26,-13.4
2009-06-01,ASIA NIES,80.9,82.1,98.5,86.5,81.5,106.2,-32.8,-18.3,-17.8,-29.4,-10.6,-21.1
2009-07-01,ASIA NIES,87.4,88.6,98.6,86.3,84.7,102,-32.1,-17.5,-17.8,-33.8,-11.9,-24.9
2009-08-01,ASIA NIES,84.9,87.7,96.8,81.5,79,103.2,-32,-15.3,-19.7,-30.1,-7.3,-24.6
2009-09-01,ASIA NIES,91.9,90.9,101,92.8,90.3,102.8,-25,-11.3,-15.5,-23.7,-0.4,-23.4
2009-10-01,ASIA NIES,92.9,96.3,96.4,93.7,90.3,103.7,-14,0.2,-14.1,-23.3,-6.9,-17.7
2009-11-01,ASIA NIES,87.2,89.1,97.9,89.8,88.8,101.2,6.5,16.9,-8.8,-11.7,5.2,-16.1
2009-12-01,ASIA NIES,94.6,95.9,98.7,90.4,91.3,99,26.3,32.9,-5,-3.2,7.6,-10.1
2010-01-01,ASIA NIES,89.3,89.5,99.7,92.4,91.1,101.5,66.5,67.7,-0.7,21.6,22.7,-0.9
2010-02-01,ASIA NIES,91.4,91.8,99.5,88.8,87.9,101.1,52.4,51.4,0.7,36.8,41.9,-3.5
2010-03-01,ASIA NIES,110.4,109.9,100.4,102.6,102.3,100.3,51.8,51.5,0.2,36.8,44.6,-5.4
2010-04-01,ASIA NIES,107.3,104.3,102.8,99.4,97.4,102,40.4,35.1,3.9,27.6,34.1,-4.8
2010-05-01,ASIA NIES,96.1,92.7,103.7,101.4,97.3,104.2,31.4,24,6,35.3,40.5,-3.7
2010-06-01,ASIA NIES,106.4,103.6,102.7,108.4,104.6,103.7,31.6,26.1,4.3,25.3,28.3,-2.4
2010-07-01,ASIA NIES,104.3,105.1,99.3,102.3,102.1,100.1,19.4,18.6,0.6,18.5,20.6,-1.8
2010-08-01,ASIA NIES,98,98.5,99.4,99.2,100.4,98.8,15.4,12.3,2.7,21.7,27,-4.2
2010-09-01,ASIA NIES,101.5,103.9,97.7,101.8,103.8,98.1,10.5,14.3,-3.3,9.6,14.9,-4.6
2010-10-01,ASIA NIES,96.9,100.1,96.8,98.2,101.3,96.9,4.3,3.9,0.3,4.8,12.2,-6.6
2010-11-01,ASIA NIES,94.3,95.8,98.5,103.1,107.8,95.6,8.1,7.6,0.5,14.8,21.5,-5.5
2010-12-01,ASIA NIES,104.2,104.8,99.5,102.5,104.4,98.2,10.2,9.3,0.8,13.5,14.3,-0.8
2011-01-01,ASIA NIES,87.3,85.7,101.9,105.7,104.9,100.8,-2.2,-4.3,2.2,14.4,15.2,-0.7
2011-02-01,ASIA NIES,92.3,92.5,99.8,94.7,93.4,101.4,1,0.8,0.3,6.7,6.3,0.4
2011-03-01,ASIA NIES,104.5,103,101.4,107.9,105,102.8,-5.3,-6.3,1,5.2,2.6,2.6
2011-04-01,ASIA NIES,98,95.9,102.2,111.7,104.9,106.4,-8.6,-8.1,-0.6,12.4,7.7,4.4
2011-05-01,ASIA NIES,87.6,84.1,104.3,109.9,104.1,105.6,-8.8,-9.3,0.5,8.4,6.9,1.3
2011-06-01,ASIA NIES,101.2,99.3,102,115.2,107.8,106.9,-4.9,-4.1,-0.8,6.3,3.1,3.1
2011-07-01,ASIA NIES,99.3,97.1,102.3,108.6,99.7,108.9,-4.8,-7.6,3.1,6.1,-2.4,8.8
2011-08-01,ASIA NIES,94.3,90.3,104.4,108.5,102.9,105.4,-3.8,-8.4,5,9.4,2.6,6.6
2011-09-01,ASIA NIES,94.5,91,103.9,106.9,99.1,107.9,-6.9,-12.5,6.4,5.1,-4.5,10
2011-10-01,ASIA NIES,87,84.8,102.5,112.6,106.6,105.7,-10.2,-15.3,6,14.7,5.2,9.1
2011-11-01,ASIA NIES,83.4,81.7,102,108.5,102.9,105.4,-11.6,-14.7,3.6,5.2,-4.6,10.2
2011-12-01,ASIA NIES,91.5,90.8,100.8,112.2,106.3,105.5,-12.2,-13.3,1.3,9.4,1.9,7.4
2012-01-01,ASIA NIES,73.3,71.2,103,108.6,101.8,106.7,-16,-16.9,1.1,2.8,-2.9,5.9
2012-02-01,ASIA NIES,84.4,82.6,102.2,107,99.7,107.4,-8.6,-10.7,2.4,13,6.7,5.9
2012-03-01,ASIA NIES,98.8,95.5,103.5,114.3,105.3,108.5,-5.5,-7.4,2,5.9,0.4,5.5
2012-04-01,ASIA NIES,89.1,83.9,106.2,107.1,99.6,107.5,-9.1,-12.5,3.9,-4.1,-5.1,1
2012-05-01,ASIA NIES,84.6,80.3,105.4,114.4,110.2,103.8,-3.4,-4.5,1.1,4.1,5.9,-1.6
2012-06-01,ASIA NIES,91.4,87.8,104.1,111.5,107.2,103.9,-9.7,-11.6,2.1,-3.3,-0.5,-2.7
2012-07-01,ASIA NIES,85.1,84.2,101.1,114.4,114,100.3,-14.3,-13.2,-1.2,5.4,14.4,-7.9
2012-08-01,ASIA NIES,82.8,80.6,102.8,105.5,105.6,99.9,-12.1,-10.8,-1.5,-2.7,2.6,-5.2
2012-09-01,ASIA NIES,87.1,85.1,102.4,104.2,104.5,99.7,-7.8,-6.4,-1.5,-2.6,5.4,-7.6
2012-10-01,ASIA NIES,82.8,80.9,102.3,114.2,112.6,101.4,-4.8,-4.6,-0.2,1.4,5.7,-4.1
2012-11-01,ASIA NIES,83,80.7,102.8,116.9,114.2,102.4,-0.5,-1.2,0.7,7.7,11,-2.9
2012-12-01,ASIA NIES,88.5,85.7,103.3,115.4,117.1,98.6,-3.3,-5.6,2.5,2.9,10.1,-6.6
2013-01-01,ASIA NIES,82.6,76.3,108.3,126.2,113.8,110.9,12.7,7.2,5.1,16.2,11.8,3.9
2013-02-01,ASIA NIES,83.3,75.6,110.2,114.1,102.7,111.1,-1.3,-8.4,7.8,6.6,3,3.5
2013-03-01,ASIA NIES,102.6,92.1,111.4,120,105,114.2,3.8,-3.5,7.6,5,-0.3,5.3
2013-04-01,ASIA NIES,98,87.2,112.4,111.7,98.2,113.8,10,3.9,5.8,4.3,-1.4,5.8
2013-05-01,ASIA NIES,100.2,86.7,115.5,123.4,103,119.8,18.3,8,9.6,7.9,-6.5,15.3
2013-06-01,ASIA NIES,100.2,88.1,113.8,115.7,96,120.6,9.7,0.3,9.3,3.8,-10.5,16
2013-07-01,ASIA NIES,96,84,114.3,131.4,110,119.4,12.7,-0.3,13.1,14.9,-3.5,19
2013-08-01,ASIA NIES,95.9,85.2,112.6,122.8,104.4,117.6,15.8,5.8,9.5,16.4,-1.2,17.8
2013-09-01,ASIA NIES,97.1,84.5,114.9,124.2,103.8,119.6,11.4,-0.7,12.2,19.2,-0.6,19.9
2013-10-01,ASIA NIES,96.3,84.2,114.5,140.3,116,121,16.3,4,11.9,22.8,3,19.3
2013-11-01,ASIA NIES,97.5,85.6,113.9,129.9,105.6,123,17.5,6,10.9,11.1,-7.5,20.2
2013-12-01,ASIA NIES,97.8,85.1,115,133.9,113.2,118.2,10.6,-0.7,11.3,16,-3.3,20
2014-01-01,ASIA NIES,84.4,71.7,117.7,149.3,116.6,128,2.1,-6,8.7,18.3,2.4,15.5
2014-02-01,ASIA NIES,94.7,80.6,117.5,118.7,94,126.2,13.7,6.7,6.6,4,-8.5,13.6
2014-03-01,ASIA NIES,105.4,89.6,117.6,138.5,111.4,124.3,2.8,-2.7,5.6,15.5,6.1,8.8
2014-04-01,ASIA NIES,99.1,85.5,115.8,126.1,103.5,121.8,1.1,-1.9,3.1,12.9,5.4,7.1
2014-05-01,ASIA NIES,92.8,81.6,113.8,124.3,114.1,108.9,-7.3,-5.9,-1.5,0.8,10.8,-9
2014-06-01,ASIA NIES,95.1,83.6,113.8,124.8,105.3,118.5,-5.1,-5.1,0.1,7.9,9.7,-1.7
2014-07-01,ASIA NIES,101.2,87.2,116.1,135.3,115.3,117.4,5.5,3.9,1.5,3,4.8,-1.7
2014-08-01,ASIA NIES,94.8,81.9,115.7,121,101.6,119.1,-1.2,-3.9,2.7,-1.5,-2.7,1.2
2014-09-01,ASIA NIES,104.4,88.8,117.6,134.7,108.7,124,7.5,5.1,2.4,8.5,4.7,3.6
2014-10-01,ASIA NIES,109.9,92.4,119.1,140.1,109.6,127.7,14.1,9.7,4,-0.2,-5.5,5.6
2014-11-01,ASIA NIES,105.6,87.6,120.5,131.4,102.2,128.5,8.3,2.4,5.7,1.2,-3.2,4.5
2014-12-01,ASIA NIES,111.6,89.6,124.6,141.7,110,128.8,14.1,5.3,8.3,5.8,-2.8,8.9
2015-01-01,ASIA NIES,106.4,87.2,121.9,141.8,108,131.3,26.1,21.7,3.6,-5,-7.3,2.5
2015-02-01,ASIA NIES,96.4,81.4,118.3,126.2,99.6,126.8,1.7,1,0.7,6.2,5.9,0.3
2015-03-01,ASIA NIES,110.5,91.1,121.2,136.1,109.4,124.5,4.8,1.7,3.1,-1.7,-1.8,0.1
2015-04-01,ASIA NIES,106.7,88.4,120.7,138.2,103.7,133.3,7.7,3.3,4.2,9.6,0.2,9.4
2015-05-01,ASIA NIES,98.3,82.4,119.2,126.7,98.7,128.3,5.9,1.1,4.8,1.9,-13.5,17.7
2015-06-01,ASIA NIES,110.9,89.7,123.6,144.9,111.9,129.4,16.6,7.4,8.6,16.1,6.3,9.2
2015-07-01,ASIA NIES,105.4,85.4,123.4,140.7,104.7,134.3,4.2,-2,6.3,3.9,-9.2,14.4
2015-08-01,ASIA NIES,98.6,79.8,123.5,127.8,97.7,130.9,4.1,-2.4,6.7,5.6,-3.9,9.9
2015-09-01,ASIA NIES,106.4,87.8,121.2,137.8,107.5,128.2,1.9,-1.1,3.1,2.2,-1.1,3.4
2015-10-01,ASIA NIES,104.7,88.1,118.8,135.3,106.7,126.9,-4.8,-4.6,-0.2,-3.4,-2.7,-0.7
2015-11-01,ASIA NIES,93.1,79,117.8,128,105.3,121.6,-11.8,-9.8,-2.2,-3,2.5,-5.4
2015-12-01,ASIA NIES,98,84.4,116.2,133.5,107.3,124.4,-12.2,-5.9,-6.7,-5.6,-2.4,-3.3
2016-01-01,ASIA NIES,86.6,75.7,114.3,126,100.1,125.9,-18.6,-13.2,-6.2,-11.2,-7.3,-4.1
2016-02-01,ASIA NIES,86.4,78.4,110.2,113.8,93.5,121.8,-10.3,-3.8,-6.9,-9.8,-6.1,-3.9
2016-03-01,ASIA NIES,99.7,89.7,111.2,121.9,102.8,118.6,-9.8,-1.6,-8.3,-10.4,-6,-4.7
2016-04-01,ASIA NIES,91.8,85.2,107.7,106.2,89.8,118.3,-14,-3.6,-10.7,-23.1,-13.4,-11.2
2016-05-01,ASIA NIES,86.1,81.7,105.4,108.8,93.3,116.7,-12.4,-0.9,-11.6,-14.1,-5.5,-9.1
2016-06-01,ASIA NIES,97.5,89.1,109.5,116.3,103.2,112.7,-12,-0.7,-11.4,-19.7,-7.8,-12.9
2009-01-01,ASEAN,56.3,56.3,99.9,86.8,86.1,100.9,-41.4,-36.4,-7.8,-29.6,-16.7,-15.5
2009-02-01,ASEAN,53,53.2,99.6,72.6,74.3,97.6,-52,-48.6,-6.6,-40.9,-28.3,-17.5
2009-03-01,ASEAN,64.2,62.8,102.3,81.1,82.2,98.7,-43.8,-41.6,-3.8,-36.7,-24.3,-16.4
2009-04-01,ASEAN,64.7,66,98.1,78.7,78.4,100.3,-40.9,-37.1,-5.9,-34.1,-22.3,-15.2
2009-05-01,ASEAN,65.1,66,98.6,69.2,73.8,93.7,-40.7,-37.9,-4.6,-42,-22.7,-24.9
2009-06-01,ASEAN,77,81.2,94.8,81.4,88.3,92.1,-32.6,-25.2,-9.9,-38.4,-12.5,-29.6
2009-07-01,ASEAN,87.1,88.9,98,86.2,91,94.8,-30.9,-24.5,-8.5,-37.1,-12.1,-28.5
