Date,Weekly U.S. Ending Stocks excluding SPR of Crude Oil  (Thousand Barrels)
2009-05-29,365977
2009-06-05,361595
2009-06-12,357721
2009-06-19,353853
2009-06-26,350193
2009-07-03,347297
2009-07-10,344484
2009-07-17,342688
2009-07-24,347840
2009-07-31,349510
2009-08-07,352029
2009-08-14,343632
2009-08-21,343760
2009-08-28,343388
2009-09-04,337482
2009-09-11,332753
2009-09-18,335608
2009-09-25,338404
2009-10-02,337426
2009-10-09,337760
2009-10-16,339072
2009-10-23,339850
2009-10-30,335914
2009-11-06,337676
2009-11-13,336789
2009-11-20,337808
2009-11-27,339899
2009-12-04,336076
2009-12-11,332387
2009-12-18,327546
2009-12-25,326008
2010-01-01,327337
2010-01-08,331036
2010-01-15,330565
2010-01-22,326677
2010-01-29,328994
2010-02-05,331418
2010-02-12,334503
2010-02-19,337537
2010-02-26,341571
2010-03-05,343003
2010-03-12,344015
2010-03-19,351260
2010-03-26,354189
2010-04-02,356165
2010-04-09,353963
2010-04-16,355857
2010-04-23,357820
2010-04-30,360575
2010-05-07,362524
2010-05-14,362686
2010-05-21,365146
2010-05-28,363244
2010-06-04,361415
2010-06-11,363105
2010-06-18,365122
2010-06-25,363115
2010-07-02,358154
2010-07-09,353096
2010-07-16,353456
2010-07-23,360764
2010-07-30,357980
2010-08-06,354992
2010-08-13,354174
2010-08-20,358282
2010-08-27,361707
2010-09-03,359854
2010-09-10,357365
2010-09-17,358335
2010-09-24,357860
2010-10-01,360948
2010-10-08,360532
2010-10-15,361199
2010-10-22,366206
2010-10-29,368156
2010-11-05,364882
2010-11-12,357596
2010-11-19,358625
2010-11-26,359691
2010-12-03,355872
2010-12-10,346018
2010-12-17,340685
2010-12-24,339427
2010-12-31,335266
2011-01-07,333112
2011-01-14,335729
2011-01-21,340565
2011-01-28,343159
2011-02-04,345057
2011-02-11,345917
2011-02-18,346739
2011-02-25,346375
2011-03-04,348891
2011-03-11,350636
2011-03-18,352767
2011-03-25,355712
2011-04-01,357664
2011-04-08,359291
2011-04-15,356969
2011-04-22,363125
2011-04-29,366546
2011-05-06,370327
2011-05-13,370312
2011-05-20,370928
2011-05-27,373806
2011-06-03,368961
2011-06-10,365555
2011-06-17,363844
2011-06-24,359469
2011-07-01,358580
2011-07-08,355456
2011-07-15,351729
2011-07-22,354025
2011-07-29,354975
2011-08-05,349750
2011-08-12,353983
2011-08-19,351770
2011-08-26,357051
2011-09-02,353088
2011-09-09,346384
2011-09-16,339048
2011-09-23,340963
2011-09-30,336284
2011-10-07,337628
2011-10-14,332899
2011-10-21,337634
2011-10-28,339460
2011-11-04,338090
2011-11-11,337034
2011-11-18,330815
2011-11-25,334747
2011-12-02,336083
2011-12-09,334151
2011-12-16,323581
2011-12-23,327480
2011-12-30,329689
2012-01-06,334647
2012-01-13,331209
2012-01-20,334767
2012-01-27,338942
2012-02-03,339246
2012-02-10,339075
2012-02-17,340708
2012-02-24,344868
2012-03-02,345700
2012-03-09,347450
2012-03-16,346288
2012-03-23,353390
2012-03-30,362399
2012-04-06,365190
2012-04-13,369046
2012-04-20,373024
2012-04-27,375864
2012-05-04,379516
2012-05-11,381644
2012-05-18,382527
2012-05-25,384740
2012-06-01,384629
2012-06-08,384438
2012-06-15,387299
2012-06-22,387166
2012-06-29,382896
2012-07-06,378200
2012-07-13,377391
2012-07-20,380108
2012-07-27,373586
2012-08-03,369857
2012-08-10,366158
2012-08-17,360746
2012-08-24,364524
2012-08-31,357098
2012-09-07,359092
2012-09-14,367626
2012-09-21,365180
2012-09-28,364698
2012-10-05,366370
2012-10-12,369230
2012-10-19,375126
2012-10-26,373081
2012-11-02,374847
2012-11-09,375936
2012-11-16,374470
2012-11-23,374123
2012-11-30,371766
2012-12-07,372609
2012-12-14,371645
2012-12-21,371059
2012-12-28,359939
2013-01-04,361253
2013-01-11,360302
2013-01-18,363115
2013-01-25,369062
2013-02-01,371685
2013-02-08,372245
2013-02-15,376388
2013-02-22,377518
2013-03-01,381351
2013-03-08,383975
2013-03-15,382661
2013-03-22,385917
2013-03-29,388624
2013-04-05,388874
2013-04-12,387641
2013-04-19,388588
2013-04-26,395284
2013-05-03,395514
2013-05-10,394890
2013-05-17,394552
2013-05-24,397552
2013-05-31,391285
2013-06-07,393808
2013-06-14,394121
2013-06-21,394139
2013-06-28,383792
2013-07-05,373918
2013-07-12,367016
2013-07-19,364191
2013-07-26,364622
2013-08-02,363302
2013-08-09,360490
2013-08-16,359062
2013-08-23,362048
2013-08-30,360212
2013-09-06,359993
2013-09-13,355625
2013-09-20,358260
2013-09-27,363732
2013-10-04,370539
2013-10-11,374538
2013-10-18,379784
2013-10-25,383871
2013-11-01,385448
2013-11-08,388088
2013-11-15,388463
2013-11-22,391416
2013-11-29,385831
2013-12-06,375246
2013-12-13,372305
2013-12-20,367574
2013-12-27,360567
2014-01-03,357892
2014-01-10,350234
2014-01-17,351224
2014-01-24,357645
2014-01-31,358085
2014-02-07,361352
2014-02-14,362325
2014-02-21,362393
2014-02-28,363822
2014-03-07,370002
2014-03-14,375852
2014-03-21,382471
2014-03-28,380092
2014-04-04,384122
2014-04-11,394135
2014-04-18,397659
2014-04-25,399357
2014-05-02,397576
2014-05-09,398523
2014-05-16,391297
2014-05-23,392954
2014-05-30,389523
2014-06-06,386927
2014-06-13,386348
2014-06-20,388090
2014-06-27,384935
2014-07-04,382565
2014-07-11,375040
2014-07-18,371071
2014-07-25,367374
2014-08-01,365618
2014-08-08,367019
2014-08-15,362545
2014-08-22,360475
2014-08-29,359570
2014-09-05,358598
2014-09-12,362271
2014-09-19,357998
2014-09-26,356635
2014-10-03,361650
2014-10-10,370573
2014-10-17,377684
2014-10-24,379745
2014-10-31,380205
2014-11-07,378470
2014-11-14,381078
2014-11-21,383024
2014-11-28,379335
2014-12-05,380789
2014-12-12,379942
2014-12-19,387209
2014-12-26,385455
2015-01-02,382393
2015-01-09,387782
2015-01-16,397853
2015-01-23,406727
2015-01-30,413060
2015-02-06,417928
2015-02-13,425644
2015-02-20,434071
2015-02-27,444374
2015-03-06,448886
2015-03-13,458508
2015-03-20,466678
2015-03-27,471444
2015-04-03,482393
2015-04-10,483687
2015-04-17,489002
2015-04-24,490912
2015-05-01,487030
2015-05-08,484839
2015-05-15,482165
2015-05-22,479363
2015-05-29,477415
2015-06-05,470603
2015-06-12,467927
2015-06-19,462993
2015-06-26,465379
2015-07-03,465763
2015-07-10,461417
2015-07-17,463885
2015-07-24,459682
2015-07-31,455275
2015-08-07,453593
2015-08-14,456213
2015-08-21,450761
2015-08-28,455428
2015-09-04,457998
2015-09-11,455894
