Date,Weekly U.S. Net Imports of Crude Oil  (Thousand Barrels per Day)
2013-04-05,7675
2013-04-12,7386
2013-04-19,7517
2013-04-26,8119
2013-05-03,7559
2013-05-10,7576
2013-05-17,8082
2013-05-24,7769
2013-05-31,7220
2013-06-07,7802
2013-06-14,8388
2013-06-21,8248
2013-06-28,7357
2013-07-05,7475
2013-07-12,7655
2013-07-19,7980
2013-07-26,8116
2013-08-02,7862
2013-08-09,7865
2013-08-16,7896
2013-08-23,8319
2013-08-30,8200
2013-09-06,7962
2013-09-13,7523
2013-09-20,7869
2013-09-27,8307
2013-10-04,7987
2013-10-11,7948
2013-10-18,7600
2013-10-25,7403
2013-11-01,7168
2013-11-08,7788
2013-11-15,7807
2013-11-22,7661
2013-11-29,7752
2013-12-06,6805
2013-12-13,7675
2013-12-20,7477
2013-12-27,7437
2014-01-03,7903
2014-01-10,6831
2014-01-17,7486
2014-01-24,7987
2014-01-31,6826
2014-02-07,7868
2014-02-14,7360
2014-02-21,6973
2014-02-28,7048
2014-03-07,7247
2014-03-14,7245
2014-03-21,7553
2014-03-28,6764
2014-04-04,7245
2014-04-11,8204
2014-04-18,7729
2014-04-25,7412
2014-05-02,6814
2014-05-09,7056
2014-05-16,6398
2014-05-23,7735
2014-05-30,7049
2014-06-06,7072
2014-06-13,7160
2014-06-20,7068
2014-06-27,6992
2014-07-04,7012
2014-07-11,7154
2014-07-18,7134
2014-07-25,7449
2014-08-01,7268
2014-08-08,7551
2014-08-15,7164
2014-08-22,7248
2014-08-29,7290
2014-09-05,7236
2014-09-12,7729
2014-09-19,6485
2014-09-26,6864
2014-10-03,7292
2014-10-10,7320
2014-10-17,7057
2014-10-24,6690
2014-10-31,6264
2014-11-07,6466
2014-11-14,7227
2014-11-21,7099
2014-11-28,6929
2014-12-05,7294
2014-12-12,6730
2014-12-19,7904
2014-12-26,6673
2015-01-02,6468
2015-01-09,7104
2015-01-16,6830
2015-01-23,6920
2015-01-30,6885
2015-02-06,6784
2015-02-13,6603
2015-02-20,6801
2015-02-27,6890
2015-03-06,6315
2015-03-13,7018
2015-03-20,6889
2015-03-27,6845
2015-04-03,7714
2015-04-10,6645
2015-04-17,7262
2015-04-24,6979
2015-05-01,6074
2015-05-08,6414
2015-05-15,6732
2015-05-22,6255
2015-05-29,6932
2015-06-05,6182
2015-06-12,6626
2015-06-19,6194
2015-06-26,6942
2015-07-03,6745
2015-07-10,6783
2015-07-17,7370
2015-07-24,6974
2015-07-31,6604
2015-08-07,6997
2015-08-14,7462
2015-08-21,6722
2015-08-28,7378
2015-09-04,6982
2015-09-11,6712
